
"","","","","","","","","","","","","","Differences from Control"
" ","Region","Deficit","Forecast Days","Percent Adj"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE","AdvancedCnt","DelayedCnt"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE"
" ","","(mm)","(days)","(%)"," ","(kg/ha)","()","()","(kg/mm)","()","()"," ","(kg/ha)","()","()","(kg/mm)"

" ","St",60,3,5," ",0.0,0,0.0,0.0,53,29," ",0,0,0,0.0
" ","St",60,3,10," ",0.0,0,0.0,0.0,113,47," ",0,0,0,0.0
" ","St",60,3,20," ",0.0,0,0.0,0.0,204,110," ",0,0,0,0.0
" ","St",60,3,40," ",0.0,0,0.0,0.0,299,166," ",0,0,0,0.0
" ","St",60,5,5," ",0.0,0,0.0,0.0,48,41," ",0,0,0,0.0
" ","St",60,5,10," ",0.0,0,0.0,0.0,105,67," ",0,0,0,0.0
" ","St",60,5,20," ",0.0,0,0.0,0.0,176,128," ",0,0,0,0.0
" ","St",60,5,40," ",0.0,0,0.0,0.0,259,233," ",0,0,0,0.0
" ","St",60,7,5," ",0.0,0,0.0,0.0,50,38," ",0,0,0,0.0
" ","St",60,7,10," ",0.0,0,0.0,0.0,94,59," ",0,0,0,0.0
" ","St",60,7,20," ",0.0,0,0.0,0.0,172,126," ",0,0,0,0.0
" ","St",60,7,40," ",0.0,0,0.0,0.0,228,231," ",0,0,0,0.0
" ","St",80,3,5," ",0.0,0,0.0,0.0,61,36," ",0,0,0,0.0
" ","St",80,3,10," ",0.0,0,0.0,0.0,118,73," ",0,0,0,0.0
" ","St",80,3,20," ",0.0,0,0.0,0.0,187,113," ",0,0,0,0.0
" ","St",80,3,40," ",0.0,0,0.0,0.0,246,124," ",0,0,0,0.0
" ","St",80,5,5," ",0.0,0,0.0,0.0,59,34," ",0,0,0,0.0
" ","St",80,5,10," ",0.0,0,0.0,0.0,105,73," ",0,0,0,0.0
" ","St",80,5,20," ",0.0,0,0.0,0.0,151,122," ",0,0,0,0.0
" ","St",80,5,40," ",0.0,0,0.0,0.0,211,190," ",0,0,0,0.0
" ","St",80,7,5," ",0.0,0,0.0,0.0,58,26," ",0,0,0,0.0
" ","St",80,7,10," ",0.0,0,0.0,0.0,92,67," ",0,0,0,0.0
" ","St",80,7,20," ",0.0,0,0.0,0.0,128,116," ",0,0,0,0.0
" ","St",80,7,40," ",0.0,0,0.0,0.0,188,203," ",0,0,0,0.0
" ","St",100,3,5," ",0.0,0,0.0,0.0,67,31," ",0,0,0,0.0
" ","St",100,3,10," ",0.0,0,0.0,0.0,107,47," ",0,0,0,0.0
" ","St",100,3,20," ",0.0,0,0.0,0.0,147,89," ",0,0,0,0.0
" ","St",100,3,40," ",0.0,0,0.0,0.0,228,98," ",0,0,0,0.0
" ","St",100,5,5," ",0.0,0,0.0,0.0,56,25," ",0,0,0,0.0
" ","St",100,5,10," ",0.0,0,0.0,0.0,95,42," ",0,0,0,0.0
" ","St",100,5,20," ",0.0,0,0.0,0.0,124,89," ",0,0,0,0.0
" ","St",100,5,40," ",0.0,0,0.0,0.0,192,151," ",0,0,0,0.0
" ","St",100,7,5," ",0.0,0,0.0,0.0,59,29," ",0,0,0,0.0
" ","St",100,7,10," ",0.0,0,0.0,0.0,80,60," ",0,0,0,0.0
" ","St",100,7,20," ",0.0,0,0.0,0.0,112,103," ",0,0,0,0.0
" ","St",100,7,40," ",0.0,0,0.0,0.0,160,168," ",0,0,0,0.0
" ","St",120,3,5," ",0.0,0,0.0,0.0,54,30," ",0,0,0,0.0
" ","St",120,3,10," ",0.0,0,0.0,0.0,79,48," ",0,0,0,0.0
" ","St",120,3,20," ",0.0,0,0.0,0.0,111,93," ",0,0,0,0.0
" ","St",120,3,40," ",0.0,0,0.0,0.0,185,59," ",0,0,0,0.0
" ","St",120,5,5," ",0.0,0,0.0,0.0,50,30," ",0,0,0,0.0
" ","St",120,5,10," ",0.0,0,0.0,0.0,71,64," ",0,0,0,0.0
